Phone timestamp;HR [bpm];HRV [ms];Breathing interval [rpm];
2026-03-18T10:25:25.915;63
2026-03-18T10:25:26.875;64
2026-03-18T10:25:27.836;63
2026-03-18T10:25:28.796;63
2026-03-18T10:25:29.744;63;14,7
2026-03-18T10:25:30.714;62;49,2
2026-03-18T10:25:31.675;61;44,9
2026-03-18T10:25:32.635;60;41,6
2026-03-18T10:25:33.596;60;40,0
2026-03-18T10:25:34.556;60;37,7
2026-03-18T10:25:35.516;60;38,1
2026-03-18T10:25:36.955;60;37,4
2026-03-18T10:25:37.915;60
2026-03-18T10:25:38.876;60;35,8
2026-03-18T10:25:39.835;60;34,4
2026-03-18T10:25:40.796;59;45,2
2026-03-18T10:25:41.755;58;43,7
2026-03-18T10:25:42.492;58;42,3
2026-03-18T10:25:43.510;58;41,3
2026-03-18T10:25:44.516;59;44,3
2026-03-18T10:25:45.505;59
2026-03-18T10:25:46.525;59;43,4
2026-03-18T10:25:47.502;59;42,3
2026-03-18T10:25:48.495;60;41,5
2026-03-18T10:25:49.526;59;41,1
2026-03-18T10:25:50.516;59;40,5
2026-03-18T10:25:51.496;59;40,2
2026-03-18T10:25:52.512;59;40,2
2026-03-18T10:25:53.516;58;39,9
2026-03-18T10:25:54.505;58;39,2
2026-03-18T10:25:55.527;58;38,6
2026-03-18T10:25:56.506;58;38,6
2026-03-18T10:25:57.491;57;38,6
2026-03-18T10:25:58.555;57
2026-03-18T10:25:59.515;57;38,8
2026-03-18T10:26:00.496;57;39,5
2026-03-18T10:26:01.514;57;34,3
2026-03-18T10:26:02.515;56;34,3
2026-03-18T10:26:03.506;56;34,5
2026-03-18T10:26:04.526;56;35,4
2026-03-18T10:26:05.514;55;35,4
2026-03-18T10:26:06.488;55;34,5
2026-03-18T10:26:07.526;55;34,1
2026-03-18T10:26:08.516;55;39,0
2026-03-18T10:26:09.495;55;39,0
2026-03-18T10:26:10.544;56;35,6
2026-03-18T10:26:11.529;57;36,8
2026-03-18T10:26:12.506;58;36,8
2026-03-18T10:26:13.526;58;36,6
2026-03-18T10:26:14.504;58;36,4
2026-03-18T10:26:15.492;58;36,1
2026-03-18T10:26:16.526;58;36,0
2026-03-18T10:26:17.516;58
2026-03-18T10:26:18.506;58;36,0
2026-03-18T10:26:19.514;59;35,8
2026-03-18T10:26:20.499;58;35,5
2026-03-18T10:26:21.536;58;38,6
2026-03-18T10:26:22.526;57;38,1
2026-03-18T10:26:23.515;57;37,5
2026-03-18T10:26:24.494;57
2026-03-18T10:26:25.510;56;37,2
2026-03-18T10:26:26.516;55;37,2
2026-03-18T10:26:27.505;55;37,5
2026-03-18T10:26:28.515;55;37,3
2026-03-18T10:26:29.501;54;37,4
2026-03-18T10:26:30.506;54;38,1
2026-03-18T10:26:31.526;54;37,6
2026-03-18T10:26:32.516;54;38,0
2026-03-18T10:26:33.496;54;38,1
2026-03-18T10:26:34.508;54;38,0
2026-03-18T10:26:35.515;54
2026-03-18T10:26:36.506;55;36,9
2026-03-18T10:26:37.525;55;36,9
2026-03-18T10:26:38.506;55;38,2
2026-03-18T10:26:39.509;55;39,3
2026-03-18T10:26:40.532;55;34,4
2026-03-18T10:26:41.518;55;34,5
2026-03-18T10:26:42.496;56;32,4
2026-03-18T10:26:43.546;56;31,2
2026-03-18T10:26:44.550;57;31,2
2026-03-18T10:26:45.509;57;31,2
2026-03-18T10:26:46.529;57;28,7
2026-03-18T10:26:47.508;56;29,0
2026-03-18T10:26:48.492;56;30,8
2026-03-18T10:26:49.529;56;30,8
2026-03-18T10:26:50.517;56
2026-03-18T10:26:51.536;56;31,4
2026-03-18T10:26:52.513;56;31,3
2026-03-18T10:26:53.520;56;27,1
2026-03-18T10:26:54.539;55;27,0
2026-03-18T10:26:55.528;55;27,4
