Phone timestamp;HR [bpm];HRV [ms];Breathing interval [rpm];
2026-03-22T10:19:42.749;89
2026-03-22T10:19:43.774;89
2026-03-22T10:19:44.761;89;3,0
2026-03-22T10:19:45.762;89;4,1
2026-03-22T10:19:46.810;90;3,5
2026-03-22T10:19:47.771;90;3,9
2026-03-22T10:19:48.758;89;6,7
2026-03-22T10:19:49.767;88;6,5
2026-03-22T10:19:50.789;88;6,0
2026-03-22T10:19:51.761;88;5,8
2026-03-22T10:19:52.765;88;7,4
2026-03-22T10:19:53.763;88;7,2
2026-03-22T10:19:54.753;89;7,2
2026-03-22T10:19:55.767;90;7,0
2026-03-22T10:19:56.800;90;6,7
2026-03-22T10:19:57.790;90;6,7
2026-03-22T10:19:58.781;90;6,7
2026-03-22T10:19:59.757;90;6,6
2026-03-22T10:20:00.760;89;6,4
2026-03-22T10:20:01.781;89;6,6
2026-03-22T10:20:02.800;89;6,7
2026-03-22T10:20:03.763;88;6,7
2026-03-22T10:20:04.765;88;6,8
2026-03-22T10:20:05.753;87;6,8
2026-03-22T10:20:06.748;87;6,8
2026-03-22T10:20:07.765;87;6,4
2026-03-22T10:20:08.755;87;5,8
2026-03-22T10:20:09.934;87;5,8
2026-03-22T10:20:10.897;87;5,8
2026-03-22T10:20:11.853;87;6,0
2026-03-22T10:20:13.780;86;5,6
2026-03-22T10:20:13.782;85;5,6
2026-03-22T10:20:15.215;85;5,4
2026-03-22T10:20:16.187;85;5,8
2026-03-22T10:20:17.152;85;5,9
2026-03-22T10:20:18.095;85;6,4
2026-03-22T10:20:19.053;85;6,3
2026-03-22T10:20:20.014;86;6,5
2026-03-22T10:20:20.975;87;6,4
2026-03-22T10:20:21.935;87;6,4
2026-03-22T10:20:22.893;86;7,2
2026-03-22T10:20:24.815;84;13,6
2026-03-22T10:20:24.817;83;13,9
2026-03-22T10:20:25.773;81;13,9
2026-03-22T10:20:27.217;81;16,8
2026-03-22T10:20:28.178;82;18,2
2026-03-22T10:20:29.133;82;18,6
2026-03-22T10:20:30.095;84;18,8
2026-03-22T10:20:31.053;85;18,9
2026-03-22T10:20:32.013;86;18,9
2026-03-22T10:20:32.973;87;19,0
2026-03-22T10:20:33.933;87;19,5
2026-03-22T10:20:34.893;87;19,5
2026-03-22T10:20:35.853;87;19,4
2026-03-22T10:20:36.815;87;19,4
2026-03-22T10:20:37.775;88;19,6
2026-03-22T10:20:39.214;89;19,6
2026-03-22T10:20:40.173;91;19,7
2026-03-22T10:20:41.133;91;19,7
2026-03-22T10:20:42.093;93;19,3
2026-03-22T10:20:43.053;94;15,4
2026-03-22T10:20:44.013;95;15,1
2026-03-22T10:20:44.973;96;15,2
2026-03-22T10:20:45.935;96;11,5
2026-03-22T10:20:46.894;97;9,6
2026-03-22T10:20:47.853;98;8,6
2026-03-22T10:20:48.813;99;8,0
2026-03-22T10:20:49.773;100;8,2
2026-03-22T10:20:51.213;101;7,7
2026-03-22T10:20:52.173;103;5,8
2026-03-22T10:20:53.133;104;6,2
2026-03-22T10:20:54.093;106;6,3
2026-03-22T10:20:55.053;108;4,8
2026-03-22T10:20:56.014;110;4,9
2026-03-22T10:20:56.973;112;4,4
2026-03-22T10:20:58.893;114;4,6
2026-03-22T10:20:58.895;116;4,7
2026-03-22T10:20:59.854;117;4,7
2026-03-22T10:21:00.813;119;4,7
2026-03-22T10:21:01.773;120;4,7
2026-03-22T10:21:03.213;121;4,7
2026-03-22T10:21:04.175;121;4,6
2026-03-22T10:21:05.133;122;4,2
2026-03-22T10:21:06.095;122;4,1
2026-03-22T10:21:07.053;122;3,6
2026-03-22T10:21:08.976;123;3,4
2026-03-22T10:21:08.978;123;3,2
2026-03-22T10:21:09.935;124;2,8
2026-03-22T10:21:11.855;124;2,5
2026-03-22T10:21:11.855;125;2,1
2026-03-22T10:21:13.775;125;1,7
2026-03-22T10:21:13.776;125;1,4
2026-03-22T10:21:15.693;126;1,4
2026-03-22T10:21:16.174;126;1,0
2026-03-22T10:21:17.133;126;1,0
2026-03-22T10:21:18.093;127;1,0
2026-03-22T10:21:19.053;127;1,0
2026-03-22T10:21:20.013;128;1,1
2026-03-22T10:21:20.978;128;1,0
2026-03-22T10:21:21.935;128;1,0
2026-03-22T10:21:22.895;129;1,1
2026-03-22T10:21:23.856;129;1,1
2026-03-22T10:21:24.817;129;1,0
2026-03-22T10:21:25.775;129;1,0
2026-03-22T10:21:27.213;129;1,1
2026-03-22T10:21:28.175;129;1,1
2026-03-22T10:21:29.135;129;1,1
2026-03-22T10:21:30.093;130;1,0
2026-03-22T10:21:31.053;130;1,0
2026-03-22T10:21:32.013;130;1,0
2026-03-22T10:21:32.976;130;0,9
2026-03-22T10:21:33.935;130;0,9
2026-03-22T10:21:34.895;130;0,9
2026-03-22T10:21:35.853;130;0,9
2026-03-22T10:21:36.815;130;0,7
2026-03-22T10:21:37.780;130;0,7
2026-03-22T10:21:39.218;130;0,7
2026-03-22T10:21:40.176;130;0,6
2026-03-22T10:21:41.137;131;0,6
2026-03-22T10:21:42.097;131;0,7
2026-03-22T10:21:43.056;131;0,8
2026-03-22T10:21:44.015;131;0,8
2026-03-22T10:21:44.976;131;0,9
2026-03-22T10:21:45.935;132;0,9
2026-03-22T10:21:46.898;132;0,9
2026-03-22T10:21:47.856;132;1,0
2026-03-22T10:21:48.815;131;1,0
2026-03-22T10:21:49.777;131;1,1
2026-03-22T10:21:51.215;131;1,1
2026-03-22T10:21:52.176;131;1,2
2026-03-22T10:21:53.137;132;1,2
2026-03-22T10:21:54.096;132;1,1
2026-03-22T10:21:55.055;132;1,1
2026-03-22T10:21:56.015;133;1,1
2026-03-22T10:21:56.974;133;1,1
2026-03-22T10:21:57.936;133;1,1
2026-03-22T10:21:58.897;133;1,2
2026-03-22T10:21:59.855;133;1,3
2026-03-22T10:22:00.815;132;1,3
2026-03-22T10:22:01.775;132;1,3
2026-03-22T10:22:03.214;132;1,2
2026-03-22T10:22:04.173;132;1,2
2026-03-22T10:22:05.133;132;1,2
2026-03-22T10:22:06.093;132;1,1
