Phone timestamp;HR [bpm];HRV [ms];Breathing interval [rpm];
2026-03-25T18:39:18.292;97
2026-03-25T18:39:19.248;102
2026-03-25T18:39:19.729;105;3,4
2026-03-25T18:39:21.170;108;3,0
2026-03-25T18:39:22.130;110;3,1
2026-03-25T18:39:22.604;113;3,5
2026-03-25T18:39:23.570;114;3,4
2026-03-25T18:39:24.530;115;3,4
2026-03-25T18:39:25.970;117;3,2
2026-03-25T18:39:27.411;118;3,1
2026-03-25T18:39:27.889;119;3,0
2026-03-25T18:39:28.850;120;2,9
2026-03-25T18:39:29.809;121;2,8
2026-03-25T18:39:30.770;121;2,7
2026-03-25T18:39:31.730;122;2,7
2026-03-25T18:39:32.690;122;2,6
2026-03-25T18:39:33.651;123;2,6
2026-03-25T18:39:34.611;123;2,3
2026-03-25T18:39:35.572;123;2,2
2026-03-25T18:39:36.532;124;1,8
2026-03-25T18:39:37.971;124;1,8
2026-03-25T18:39:38.930;124;1,6
2026-03-25T18:39:39.891;125;1,6
2026-03-25T18:39:40.852;125;1,4
2026-03-25T18:39:41.809;126;1,3
2026-03-25T18:39:42.771;126;1,5
2026-03-25T18:39:43.732;127;1,6
2026-03-25T18:39:44.691;128;1,6
2026-03-25T18:39:46.613;128;1,4
2026-03-25T18:39:46.616;129;1,4
2026-03-25T18:39:47.555;129;1,3
2026-03-25T18:39:48.531;129;1,4
2026-03-25T18:39:49.973;130;1,4
2026-03-25T18:39:50.927;130;1,3
2026-03-25T18:39:51.891;129;1,3
2026-03-25T18:39:52.850;129;1,4
2026-03-25T18:39:54.285;129;1,4
2026-03-25T18:39:54.771;129;1,3
2026-03-25T18:39:55.729;129;1,2
2026-03-25T18:39:56.692;130;1,1
2026-03-25T18:39:57.652;130;1,0
2026-03-25T18:39:58.611;129;1,0
2026-03-25T18:39:59.572;129;1,0
2026-03-25T18:40:00.532;129;1,0
2026-03-25T18:40:01.972;129;0,8
2026-03-25T18:40:02.931;129;0,8
2026-03-25T18:40:04.372;129;0,8
2026-03-25T18:40:04.850;128;0,8
2026-03-25T18:40:06.293;128;1,3
2026-03-25T18:40:07.251;127;1,5
2026-03-25T18:40:08.212;125;1,8
2026-03-25T18:40:09.171;124;1,8
2026-03-25T18:40:09.651;124;1,8
2026-03-25T18:40:10.613;123;1,8
2026-03-25T18:40:11.572;123;1,9
2026-03-25T18:40:12.531;122;1,8
2026-03-25T18:40:13.971;122;1,9
2026-03-25T18:40:14.934;121;2,0
2026-03-25T18:40:15.891;120;2,0
2026-03-25T18:40:16.852;120;2,1
2026-03-25T18:40:17.809;120;2,3
2026-03-25T18:40:19.731;120;2,3
2026-03-25T18:40:19.734;120;2,0
2026-03-25T18:40:20.691;120;1,9
2026-03-25T18:40:22.132;119;2,2
2026-03-25T18:40:22.610;119;2,2
2026-03-25T18:40:23.571;118;2,2
2026-03-25T18:40:24.532;118;2,2
2026-03-25T18:40:25.972;118;2,3
2026-03-25T18:40:27.412;118;2,4
