Phone timestamp;HR [bpm];HRV [ms];Breathing interval [rpm];
2026-04-06T10:17:26.632;83
2026-04-06T10:17:27.065;84
2026-04-06T10:17:28.541;84
2026-04-06T10:17:28.988;84;3,0
2026-04-06T10:17:29.465;82;76,5
2026-04-06T10:17:30.945;79;65,4
2026-04-06T10:17:31.429;78;61,1
2026-04-06T10:17:32.381;78;62,2
2026-04-06T10:17:33.785;79;59,0
2026-04-06T10:17:34.266;79;56,4
2026-04-06T10:17:35.743;80;54,2
2026-04-06T10:17:36.708;80;52,3
2026-04-06T10:17:37.656;79;50,4
2026-04-06T10:17:38.608;79;50,6
2026-04-06T10:17:39.585;78;49,1
2026-04-06T10:17:40.546;77;46,6
2026-04-06T10:17:41.506;77;47,8
2026-04-06T10:17:42.464;78;46,8
2026-04-06T10:17:43.425;79;45,0
2026-04-06T10:17:44.392;79;44,1
2026-04-06T10:17:45.349;79;43,2
2026-04-06T10:17:46.304;79;41,8
2026-04-06T10:17:47.707;79;41,5
2026-04-06T10:17:48.699;78;41,6
2026-04-06T10:17:49.664;78;41,7
2026-04-06T10:17:50.619;78;41,7
2026-04-06T10:17:51.587;78;27,7
2026-04-06T10:17:52.533;79;27,3
2026-04-06T10:17:53.467;79;27,3
2026-04-06T10:17:54.427;79;24,2
2026-04-06T10:17:55.907;80;21,6
2026-04-06T10:17:56.346;80;22,5
2026-04-06T10:17:57.341;81;22,6
2026-04-06T10:17:58.310;81;22,7
2026-04-06T10:17:59.708;83;18,4
2026-04-06T10:18:00.668;83;18,7
2026-04-06T10:18:01.628;85;18,9
2026-04-06T10:18:02.625;86;14,1
2026-04-06T10:18:03.581;87;14,1
2026-04-06T10:18:05.026;89;13,6
2026-04-06T10:18:05.467;91;13,7
2026-04-06T10:18:06.461;93;13,9
2026-04-06T10:18:07.428;94;13,6
2026-04-06T10:18:09.340;96;12,1
2026-04-06T10:18:09.341;97;12,1
2026-04-06T10:18:10.293;98;11,5
2026-04-06T10:18:11.742;100;10,0
2026-04-06T10:18:12.701;100;10,0
2026-04-06T10:18:13.665;101;9,5
2026-04-06T10:18:14.622;101;9,5
2026-04-06T10:18:16.063;101;6,8
2026-04-06T10:18:17.022;101;6,7
2026-04-06T10:18:17.464;102;6,4
2026-04-06T10:18:18.957;102;5,2
2026-04-06T10:18:19.386;102;5,2
2026-04-06T10:18:20.394;103;4,4
2026-04-06T10:18:22.320;103;4,2
2026-04-06T10:18:22.321;104;4,0
2026-04-06T10:18:23.750;104
2026-04-06T10:18:24.710;104;3,2
2026-04-06T10:18:25.671;103;2,1
2026-04-06T10:18:26.631;103;2,5
2026-04-06T10:18:27.587;103;2,2
2026-04-06T10:18:29.026;102;2,2
2026-04-06T10:18:29.466;103;2,1
2026-04-06T10:18:30.472;103;2,2
2026-04-06T10:18:31.430;103;2,3
2026-04-06T10:18:32.871;103;2,3
2026-04-06T10:18:33.836;103;2,3
2026-04-06T10:18:34.314;103;2,3
2026-04-06T10:18:35.708;103;2,5
2026-04-06T10:18:37.147;103;2,4
2026-04-06T10:18:38.152;103;2,4
2026-04-06T10:18:39.107;103;2,3
2026-04-06T10:18:39.547;103;2,3
2026-04-06T10:18:41.026;103;2,3
2026-04-06T10:18:41.507;103;2,4
2026-04-06T10:18:42.466;104;2,3
2026-04-06T10:18:43.422;105;2,2
2026-04-06T10:18:44.386;105;2,2
2026-04-06T10:18:45.345;106;2,2
2026-04-06T10:18:46.313;106;2,2
2026-04-06T10:18:47.743;107;2,2
2026-04-06T10:18:48.666;107;2,1
